,Model,UMI per cell,Quality,MI
0,Geneformer,8156.738858863598,0.001,0.4002995224459332
1,Geneformer,8156.738858863598,0.0021544346900318843,0.634460373586174
2,Geneformer,8156.738858863598,0.004641588833612777,0.8736131320273235
3,Geneformer,8156.738858863598,0.01,1.1651425957232973
4,Geneformer,8156.738858863598,0.021544346900318832,1.6403919084663354
5,Geneformer,8156.738858863598,0.046415888336127774,2.1094909948977003
6,scGPT,8156.738858863598,0.046415888336127774,2.4407190150142433
7,Geneformer,8156.738858863598,0.1,2.4609142966406727
8,scGPT,8156.738858863598,0.1,2.6950922771625336
9,Geneformer,8156.738858863598,0.21544346900318823,2.6082715157395855
10,scGPT,8156.738858863598,0.21544346900318823,3.0973492527862705
11,Geneformer,8156.738858863598,0.46415888336127775,2.6607802529789346
12,scGPT,8156.738858863598,0.46415888336127775,3.3406976330609135
13,Geneformer,8156.738858863598,1.0,2.843321518203561
14,scGPT,8156.738858863598,1.0,3.5926454611088614
