,model,noiseObs,MI
0,krumsiek11,0.0001,3.4139463881517385
1,krumsiek11,0.00046415888336127773,3.3810749640900304
2,krumsiek11,0.002154434690031882,3.2973638364700717
3,krumsiek11,0.01,2.997611191957755
4,krumsiek11,0.046415888336127774,2.212675631288665
5,krumsiek11,0.21544346900318823,1.1425120348047735
6,krumsiek11,1.0,0.062737266541354
7,krumsiek11,4.641588833612772,-0.002775491567303827
8,krumsiek11,21.54434690031882,0.06580081692143226
9,krumsiek11,100.0,0.007719010851017767
10,toggleswitch,0.0001,3.2550013081431017
11,toggleswitch,0.00046415888336127773,3.1205858233145487
12,toggleswitch,0.002154434690031882,3.082163399110196
13,toggleswitch,0.01,2.8151443301801913
14,toggleswitch,0.046415888336127774,2.160363119416738
15,toggleswitch,0.21544346900318823,0.5772125436106903
16,toggleswitch,1.0,-0.016334579900085893
17,toggleswitch,4.641588833612772,-0.0023130301807954864
18,toggleswitch,21.54434690031882,-0.01661411520725851
19,toggleswitch,100.0,-0.013435285463193154
